상호명,출처,종류,x,y
마야라틴줌바댄스,소상공,댄스,989723.971,1814035.961
킴댄스무도학원,소상공,댄스,994106.724,1814385.509
엔젤댄스스포츠학원,소상공,댄스,987882.013,1817625.245
하늘댄스스포츠,소상공,댄스,989319.313,1813028.202
황실댄스스포츠학원,소상공,댄스,990148.034,1813222.422
이가연댄스아카데미,소상공,댄스,993523.750,1817123.602
사리송댄스스포츠학원,소상공,댄스,993724.352,1814868.374
유천댄스스포츠,소상공,댄스,990092.305,1813173.150
예인댄스스포츠,소상공,댄스,990009.450,1817211.390
장미선방송댄스,소상공,댄스,992048.598,1813959.006
타니댄스아카데미,소상공,댄스,990361.337,1813537.421
다들벨리댄스아카데미,소상공,댄스,986754.863,1811925.312
미성댄스스포츠학원,소상공,댄스,985560.065,1817377.312
제이와이댄스홀릭,소상공,댄스,989424.640,1816631.556
골드댄스스포츠학원,소상공,댄스,993963.529,1813079.194
월드댄스학원,소상공,댄스,992316.419,1813784.448
정상묵댄스스포츠학원,소상공,댄스,994042.101,1813155.575
토마토댄스스포츠학원,소상공,댄스,993724.352,1814868.374
아진댄스스포츠학원,소상공,댄스,994290.425,1814045.569
참댄스,소상공,댄스,995321.476,1816097.237
박영재댄스스포츠학원,소상공,댄스,993703.399,1814860.269
에댄스,소상공,댄스,992142.545,1815510.984
피리댄스스포츠학원,소상공,댄스,993103.679,1814651.235
밀라폴댄스,소상공,댄스,989659.193,1816122.937
오하운폴댄스학원,소상공,댄스,985958.521,1817844.218
김앤경댄스&발레,소상공,댄스,992227.891,1815632.385
수니댄스스포츠학원,소상공,댄스,988745.300,1816547.069
엘러퀸스댄스지도자협회,소상공,댄스,992954.879,1825823.818
테리댄스,소상공,댄스,990079.570,1815830.208
스윙댄스스포츠학원,소상공,댄스,990542.955,1813405.403
이지댄스아카데미,소상공,댄스,988950.725,1816646.099
유진스댄스,소상공,댄스,988957.871,1818163.633
명화댄스,소상공,댄스,993783.605,1814041.950
양현모 댄스스포츠,인허가,댄스,993757.699,1814702.293
댄스스포츠학원,인허가,댄스,993723.701,1814867.714
사리송 댄스스포츠 학원,인허가,댄스,993723.701,1814867.714
