상호명,출처,종류,x,y
All PT studio,인허가,헬스장,994486,1813575
좋은날 휘트니스,인허가,헬스장,996228,1813742
크로스핏 에이플러스,인허가,헬스장,995481,1815360
DS휘트니스센터 용운점,인허가,헬스장,996030,1815236
피지컬GYM,인허가,헬스장,995355,1815422
에이치 바디 핏,인허가,헬스장,996113,1813254
리:빌딩 트레이닝 센터,인허가,헬스장,995119,1815201
DS휘트니스 우송대점,인허가,헬스장,995133,1815242
원핏(ONEFIT),인허가,헬스장,996352,1811396
포레스핏 복합터미널점,인허가,헬스장,994242,1816891
엑시드 짐,인허가,헬스장,993916,1817904
초콜릿 휘트니스,인허가,헬스장,996115,1812130
가오짐 피티샵,인허가,헬스장,996072,1812040
중앙 휘트니스,인허가,헬스장,994055,1814577
발리 휘트니스 클럽,인허가,헬스장,995167,1814127
굿라이프 휘트니스,인허가,헬스장,993958,1814518
레드필드 대전역점 헬스 PT 크로스핏 스피닝 GX,인허가,헬스장,993941,1814493
에프스포렉스,인허가,헬스장,993945,1815670
더멋짐피트니스,인허가,헬스장,996492,1813910
킹스휘트리스,인허가,헬스장,995940,1812454
나우헬스,인허가,헬스장,994969,1813784
휘트니스센터,인허가,헬스장,997014,1814128
아마존헬스,인허가,헬스장,993952,1816932
스타일 피트니스,인허가,헬스장,994884,1814602
휩스 휘트니스클럽,인허가,헬스장,995437,1815779
헬스 존,인허가,헬스장,994426,1813714
만나짐,인허가,헬스장,996062,1812192
탑핏 피티스튜디오,인허가,헬스장,996426,1813412
바디플러스,인허가,헬스장,993409,1816393
페르소나 PT,인허가,헬스장,995664,1814448
헬스보이짐 대전터미널점,인허가,헬스장,994481,1816966
DS휘트니스 우송대2호점,인허가,헬스장,995359,1815533
CK GYM,인허가,헬스장,996481,1813415
더존헬스클럽,인허가,헬스장,995564,1816514
일웅스파렌드휘트니스헬스,인허가,헬스장,993659,1816491
덕림헬스,인허가,헬스장,995929,1814574
팀메이크짐,인허가,헬스장,994640,1814535
헬스보이짐,인허가,헬스장,996136,1812106
크로스핏 에이플러스,인허가,헬스장,993368,1816001
파프리카짐,인허가,헬스장,994237,1814332
HS피트니스,인허가,헬스장,995547,1816952
바벨피트니스 복합터미널점,인허가,헬스장,994315,1816999
더멋짐피트니스,인허가,헬스장,995996,1814531
어썸피트니스,인허가,헬스장,986014,1818277
볼트짐휘트니스,인허가,헬스장,986075,1818194
월드헬스,인허가,헬스장,983794,1811387
차짐 전민점,인허가,헬스장,991132,1822396
디데이짐,인허가,헬스장,985227,1814872
청춘 P.T,인허가,헬스장,981812,1816902
라라휘트니스,인허가,헬스장,987222,1818374
B & S GYM,인허가,헬스장,982479,1816071
투모어휘트니스,인허가,헬스장,985989,1816192
팀던 트레이닝센터,인허가,헬스장,982115,1816140
투모어휘트니스 지족점,인허가,헬스장,982696,1821119
플로우 스트렝스,인허가,헬스장,984792,1817084
플랜에이,인허가,헬스장,986535,1818278
PT 더함,인허가,헬스장,986000,1817795
크로스핏 팔팔,인허가,헬스장,985862,1817383
SD 프리미엄 PT샵,인허가,헬스장,991239,1822372
에이프로짐,인허가,헬스장,982906,1815984
케틀벨아시아피트니스짐,인허가,헬스장,989136,1820619
진피티,인허가,헬스장,985429,1814822
차짐 전민점 PT 헬스,인허가,헬스장,991132,1822396
데일리피티,인허가,헬스장,985570,1816524
JP PT Studio,인허가,헬스장,985597,1819126
8ROW,인허가,헬스장,982730,1821351
M휘트니트 유성봉명점,인허가,헬스장,985715,1817317
마음다짐,인허가,헬스장,985491,1819083
