상호명,출처,종류,x,y
케어필라테스,소상공,요가/필라테스,990106,1825427
대전레전드에프씨,소상공,요가/필라테스,991285,1819940
영필라테스,소상공,요가/필라테스,988526,1818841
필라드리,소상공,요가/필라테스,989884,1817253
바이에스필라테스,소상공,요가/필라테스,987149,1818439
이즈핫요가,소상공,요가/필라테스,993989,1818912
힐랜드기통찬약손나라,소상공,요가/필라테스,990227,1815445
대전중앙FC,소상공,요가/필라테스,992087,1814548
주영명상요가,소상공,요가/필라테스,993142,1818609
오금체조,소상공,요가/필라테스,989456,1816468
행복요가원,소상공,요가/필라테스,991439,1814019
미요가스포츠아카데미,소상공,요가/필라테스,989536,1815437
요가이즈필라테스,소상공,요가/필라테스,990371,1813590
하이파이브유소년스포츠클럽,소상공,요가/필라테스,989718,1811072
이민호베이스볼,소상공,요가/필라테스,991826,1814189
박보정다옴필라테스요가,소상공,요가/필라테스,993304,1817135
아하에어로빅,소상공,요가/필라테스,993507,1817595
쉬운요가원,소상공,요가/필라테스,994459,1818728
어깨동무체육교실,소상공,요가/필라테스,992877,1819691
대전광역시장애인댄스스포츠연맹,소상공,요가/필라테스,989065,1816751
움직임요가&필라테스,소상공,요가/필라테스,991909,1813684
필라테스숲,소상공,요가/필라테스,985505,1815035
굿바디스튜디오,소상공,요가/필라테스,985816,1817698
쉼표요가,소상공,요가/필라테스,985522,1815581
한국요가명상원,소상공,요가/필라테스,989145,1818344
아름다운요가,소상공,요가/필라테스,990301,1815822
더코어필라테스,소상공,요가/필라테스,989872,1817137
힐링원,소상공,요가/필라테스,989935,1825897
PLAY&SPORTS,소상공,요가/필라테스,991281,1822159
김선미자연치유요가,소상공,요가/필라테스,988788,1818088
SNPE체형교정요가센터,소상공,요가/필라테스,990050,1818010
요가V&A,소상공,요가/필라테스,989883,1816956
훼미리에어로빅,소상공,요가/필라테스,990889,1817072
오진희필라테스,소상공,요가/필라테스,989883,1816956
이지필라테스,소상공,요가/필라테스,985726,1811375
제일베이스볼,소상공,요가/필라테스,988873,1814957
대전NAC에어로빅,소상공,요가/필라테스,990591,1816559
신세계,소상공,요가/필라테스,985368,1811446
에이스유소년스포츠클럽,소상공,요가/필라테스,987883,1817667
윙스핫요가,소상공,요가/필라테스,989027,1817060
김광선축구클럽,소상공,요가/필라테스,983517,1813065
세븐데이즈요가,소상공,요가/필라테스,988701,1815892
KYC농구축구교실,소상공,요가/필라테스,983951,1810618
무무관유성합기도,소상공,요가/필라테스,985152,1816770
렛츠필라테스,소상공,요가/필라테스,990021,1817136
가온요가필라테스,소상공,요가/필라테스,991322,1822279
파랑새스포츠센터,소상공,요가/필라테스,990898,1823605
요가플러스,소상공,요가/필라테스,988378,1815252
우창욱골프교실,소상공,요가/필라테스,991119,1825067
이혜경요가아쉬람,소상공,요가/필라테스,989960,1825317
손은정의휘트니스요가,소상공,요가/필라테스,986579,1821062
필라테스라인,소상공,요가/필라테스,989023,1816816
나래스포츠,소상공,요가/필라테스,983023,1821586
항성요가협회,소상공,요가/필라테스,990052,1817960
산소발자국,소상공,요가/필라테스,985845,1817728
무드라요가,소상공,요가/필라테스,991369,1822412
