상호명,출처,종류,x,y
스위밍키즈,인허가,수영장,994731,1813175
에프스포렉스,인허가,수영장,993945,1815670
용운국제수영장,인허가,수영장,997014,1814128
유성호텔실내수영장,인허가,수영장,985506,1817681
J 스위밍센터,인허가,수영장,982924,1821083
140 키즈수영장 대전본점,인허가,수영장,985421,1814932
진잠다목적체육관,인허가,수영장,983888,1810869
구즉국민체육센터,인허가,수영장,989656,1826442
(주)월드스포츠컨설팅,인허가,수영장,984228,1818584
유성구종합사회복지관 수영장,인허가,수영장,985595,1817296
나래스포츠,인허가,수영장,983022,1821589
(주)나래 아쿠아 키즈풀,인허가,수영장,985221,1814784
대덕국민체육센터수영장,인허가,수영장,992241,1827558
금강로하스산호빛공원 야외수영장,인허가,수영장,992906,1828462
대덕구청소년어울림센터수영장,인허가,수영장,994073,1818559
체육재활원수영장,인허가,수영장,992705,1818987
스위밍키즈 송촌점,인허가,수영장,994717,1818937
스위밍키즈 도안관저점,인허가,수영장,985394,1811731
서구국민체육센터(수영장),인허가,수영장,987720,1811695
스위밍 키즈,인허가,수영장,989072,1816979
프렌즈 아쿠아 키즈풀,인허가,수영장,985004,1811906
로키 스위밍 클럽,인허가,수영장,989882,1816956
(주)월드스포츠컨설팅 도마실국민체육센터,인허가,수영장,989682,1812885
뉴그린 수영장,인허가,수영장,989043,1818011
대전광역시 서구건강체련관 (수영장),인허가,수영장,989575,1817523
대전광역시 평송청소년문화센터,인허가,수영장,989934,1818950
올림픽기념국민생활관,인허가,수영장,988649,1817478
씨엘키즈 어린이수영장,인허가,수영장,986993,1811961
천마 하이파이브 수영장,인허가,수영장,989793,1816233
140 키즈 수영장 오류점,인허가,수영장,991141,1814590
삼부스포렉스,인허가,수영장,990468,1814100
한밭수영장,인허가,수영장,993773,1813223
대전시립산성종합복지관 수영장,인허가,수영장,989464,1811837
스위밍키즈 태평점,인허가,수영장,990336,1813453
